Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Grape-Ox,indica,4.6,"Sleepy,Relaxed,Hungry,Tingly,Uplifted","Grape,Cheese,Sweet",Rare Dankness Seeds,Colorado
Grape-Skunk,indica,4.1,"Happy,Relaxed,Giggly,Tingly,Euphoric","Grape,Sweet,Skunk",,
Grape-Soda,hybrid,4.9,"Relaxed,Happy,Euphoric,Uplifted,Creative","Grape,Citrus,Sweet",Taste Budz,
Grape-Valley-Kush,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Aroused","Berry,Grape,Pine",Moxie Seeds,
Grapefruit,sativa,4.3,"Uplifted,Energetic,Happy,Euphoric,Focused","Grapefruit,Citrus,Sweet",,
Grapefruit-Diesel,hybrid,4.2,"Focused,Energetic,Relaxed,Euphoric,Happy","Grapefruit,Citrus,Diesel",,
Grapefruit-Haze,sativa,4.4,"Uplifted,Happy,Energetic,Euphoric,Relaxed","Diesel,Earthy,Grapefruit",,
Grapefruit-Kush,hybrid,4.3,"Happy,Uplifted,Relaxed,Focused,Creative","Grapefruit,Sweet,Citrus",,
Gravity,indica,4,"Sleepy,Hungry,Relaxed,Aroused,Euphoric","Sweet,Citrus,Rose",,
Grease-Monkey,hybrid,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Diesel",,
Green-Avenger,hybrid,5,"Energetic,Happy,Uplifted,Creative,Euphoric","Sweet,Minty,Honey",TGA Subcool Genetics,"Seattle, Washington"
Green-Candy,sativa,4.3,"Uplifted,Happy,Relaxed,Focused,Giggly","Earthy,Sweet,Tobacco",,
Green-Cheese,hybrid,4.1,"Euphoric,Relaxed,Energetic,Focused,Creative","Pungent,Cheese,Earthy",,
Green-Crack,sativa,4.3,"Energetic,Happy,Uplifted,Focused,Euphoric","Earthy,Citrus,Sweet",,
Green-Crack-Extreme,sativa,4.6,"Energetic,Creative,Focused,Euphoric,Uplifted","Sweet,Earthy,Spicy/Herbal",,
Green-Door-Kush,hybrid,4.5,"Happy,Relaxed,Euphoric,Creative,Hungry","Spicy/Herbal,Citrus,Woody",,
Green-Dragon,indica,4.2,"Uplifted,Happy,Focused,Energetic,Relaxed","Sweet,Earthy,Pungent",,
Green-Dream,hybrid,4.4,"Happy,Uplifted,Creative,Euphoric,Hungry","Earthy,Citrus,Flowery",,
