Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Silver-Calyx,hybrid,5,"Aroused,Energetic,Euphoric,Focused,Relaxed","Lemon,Tree,Fruit,Pine",Calyx Garden,"Humboldt, California"
Silver-Cindy,hybrid,5,"Aroused,Uplifted,Energetic,Euphoric,Happy",None,Colorado Seed Inc.,"Boulder, Colorado"
Silver-Haze,sativa,4.2,"Happy,Euphoric,Relaxed,Talkative,Uplifted","Earthy,Sweet,Pungent",,
Silver-Kush,sativa,4.4,"Happy,Relaxed,Giggly,Uplifted,Focused","Earthy,Chemical,Citrus",DNA Genetics,"Amsterdam,Canada, California"
Silver-Nina,hybrid,5,"Creative,Energetic,Focused,Happy,Aroused",None,Colorado Seed Inc.,"Boulder, Colorado"
Silver-Pearl,hybrid,4.3,"Creative,Uplifted,Happy,Energetic,Euphoric","Skunk,Pine,Mango",,
Silver-Surfer,hybrid,4.3,"Happy,Euphoric,Tingly,Relaxed,Giggly","Citrus,Lime,Lemon",,
Silver-Train,sativa,4.7,"Focused,Euphoric,Energetic,Relaxed,Aroused","Pine,Lemon,Spicy/Herbal",,
Silverback-Gorilla,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Tingly","Earthy,Pine,Sweet",,
Silverfalls-Kush,hybrid,4.8,"Relaxed,Euphoric,Giggly,Happy,Hungry","Sweet,Spicy/Herbal,Strawberry",,
Silverhawks-Og,sativa,5,"Euphoric,Relaxed,Uplifted,Creative,Happy","Lime,Citrus,Flowery",Unknown,
Sin-City-Kush,indica,4.9,"Relaxed,Euphoric,Uplifted,Giggly,Happy","Grape,Pine,Nutty",AlphaKronic Genes,
Sin-Valley-Og,hybrid,4.5,"Sleepy,Relaxed,Focused,Euphoric,Happy","Citrus,Earthy,Lemon",SinCity Seeds ,"Las Vegas, Nevada"
Sinai,sativa,4.8,"Euphoric,Uplifted,Relaxed,Talkative,Happy","Menthol,Spicy/Herbal,Pepper",Indigenous Bedouin ,Sinai Peninsula
Sinmint-Cookies,hybrid,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Minty,Menthol,Woody",,
Sirius-Black,indica,4.6,"Happy,Euphoric,Relaxed,Creative,Uplifted","Grape,Sweet,Pepper",Oregon Breeders Group,
Six-Shooter,hybrid,4.6,"Creative,Euphoric,Happy,Uplifted,Focused","Sweet,Skunk,Citrus",Royal Dutch Genetics,
Skins-Skunk,hybrid,5,"Euphoric,Happy,Relaxed,Sleepy,Uplifted","Lemon,Sweet,Strawberry",Skins Skunk,
Skunk-1,hybrid,4.1,"Euphoric,Creative,Relaxed,Happy,Hungry","Skunk,Earthy,Pungent",,
Skunk-47,indica,4.3,"Relaxed,Sleepy,Happy,Uplifted,Hungry","Earthy,Skunk,Berry",,
Skunk-Dawg,sativa,4.4,"Happy,Uplifted,Relaxed,Focused,Creative","Skunk,Pungent,Earthy",,
Skunk-Haze,hybrid,4.1,"Relaxed,Happy,Focused,Giggly,Euphoric","Earthy,Woody,Skunk",Mr Nice Seeds ,
Skunkberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Skunk,Berry,Blueberry",,
Skunky-Diesel,hybrid,4.2,"Happy,Uplifted,Energetic,Relaxed,Sleepy","Skunk,Diesel,Earthy",,
Sky-Master,sativa,0,None,None,Washington Bud Company,
Skydog,indica,4.5,"Focused,Happy,Relaxed,Uplifted,Euphoric","Pungent,Skunk,Spicy/Herbal",,
Skywalker,indica,4.3,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Sweet,Citrus",,
Skywalker-Alien,hybrid,3.8,"Happy,Giggly,Relaxed,Euphoric,Hungry","Chemical,Sweet,Citrus",Unknown,
Skywalker-Og,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy,Pungent,Sweet",,
Slazerbeam,sativa,4.6,"Uplifted,Energetic,Happy,Talkative,Creative","Woody,Earthy,Sweet",,
Sleeskunk,sativa,4.2,"Creative,Euphoric,Tingly,Uplifted,Energetic","Skunk,Pine,Pungent",DNA Genetics,"Amsterdam,Canada, California"
Sleestack,sativa,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Skunk,Lemon",DNA Genetics,"Amsterdam,Canada, California"
Slimer-Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Earthy,Pungent,Sweet",Unknown,
Smelliot,hybrid,5,"Uplifted,Happy,Creative,Euphoric,Focused","Citrus,Ammonia,Sweet",Unknown,
Smooth-Operator,hybrid,4,"Talkative,Uplifted,Energetic,Happy","Flowery,Earthy,Pungent",Colorado Seed Inc.,"Boulder, Colorado"
Snoop-Dogg-Og,indica,4.6,"Euphoric,Relaxed,Happy,Sleepy,Hungry","Ammonia,Lemon,Earthy",,
Snoop-S-Dream,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Blueberry,Earthy,Sweet",,
Snow-Bud,hybrid,4.6,"Uplifted,Happy,Relaxed,Euphoric,Sleepy","Earthy,Chemical,Skunk",Dutch Passion Seed Company,Amsterdam
Snow-Diesel,hybrid,3.4,"Focused,Energetic,Uplifted,Euphoric,Happy","Diesel,Woody,Sweet",House of Funk Genetics,
Snow-Leopard,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Tea,Woody",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Snow-Lotus,hybrid,4.6,"Euphoric,Happy,Uplifted,Focused,Giggly","Chemical,Woody,Diesel",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Snow-Monster,indica,4.3,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Earthy,Sweet,Skunk",Exotic Genetix,"Tacoma, Washington"
Snow-Mountain,indica,4,"Uplifted,Relaxed",Flowery,Snow High Seeds,Uzbekistan
Snow-Ryder,indica,4,"Aroused,Sleepy,Uplifted,Relaxed","Minty,Pepper,Earthy",Sensi Seeds,"Amsterdam, Netherlands"
Snow-White,hybrid,4.3,"Relaxed,Euphoric,Hungry,Happy,Talkative","Citrus,Earthy,Woody",Nirvana Seeds,"Amsterdam, Netherlands"
Snowcap,hybrid,4.1,"Happy,Euphoric,Uplifted,Focused,Creative","Lemon,Citrus,Pungent",,
Snowland,hybrid,4.5,"Relaxed,Sleepy,Talkative,Creative,Focused","Earthy,Lemon,Flowery",DNA Genetics,"Amsterdam,Canada, California"
Sojay-Haze,sativa,4.8,"Uplifted,Euphoric,Talkative,Relaxed,Hungry","Citrus,Spicy/Herbal,Sweet",Cresco Labs,"Chicago, Illinois"
Somango,indica,4.3,"Relaxed,Hungry,Focused,Sleepy,Euphoric","Mango,Sweet,Flowery",Soma Sacred Seeds,"Amsterdam, Netherlands"
Sonic-Screwdriver,sativa,4.5,"Happy,Euphoric,Giggly,Uplifted,Energetic","Earthy,Citrus,Woody",TGA Subcool Genetics,"Seattle, Washington"
Sonoma-Coma,sativa,4.5,"Euphoric,Uplifted,Happy,Focused,Talkative","Citrus,Tropical,Spicy/Herbal",,
Sorcerers-Apprentice,hybrid,5,"Tingly,Focused,Aroused,Uplifted,Energetic","Sweet,Tropical",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Soul-Assassin-Og,hybrid,4.5,"Relaxed,Euphoric,Happy,Focused,Sleepy","Diesel,Lemon,Pungent",Soul Assassins Crew,
Soul-Shine,hybrid,4.1,"Euphoric,Happy,Creative,Hungry,Uplifted",,,
Soulshine-Aloha,indica,0,"Tingly,Uplifted,Euphoric,Focused,Happy",None,Soulshine Cannabis,
Sour-Alien,hybrid,4.3,"Relaxed,Creative,Giggly,Happy,Uplifted","Diesel,Lemon,Pungent",Cali Connection,
Sour-Amnesia,sativa,4.6,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Sweet,Diesel,Earthy",HortiLab Seeds,
Sour-Ape,indica,4.2,"Relaxed,Giggly,Hungry,Energetic,Happy","Skunk,Citrus,Diesel",Joseph Arthur Botanicals,Colorado
Sour-Apple,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Apple,Sweet,Pungent",,
Sour-Banana-Sherbet,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Diesel,Tree,Fruit",Crocket Family Farms,
Sour-Breath,sativa,4,"Creative,Energetic,Focused,Happy,Uplifted","Diesel,Apricot,Pine",,
Sour-Bubba,indica,4.5,"Happy,Euphoric,Uplifted,Relaxed,Sleepy","Earthy,Diesel,Flowery",,
Sour-Bubble,indica,4.6,"Relaxed,Happy,Uplifted,Creative,Giggly","Sweet,Pungent,Earthy",BOG Seeds,
Sour-Candy,hybrid,4.5,"Happy,Creative,Focused,Uplifted,Energetic","Diesel,Earthy,Sweet",,
Sour-Chees,hybrid,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Cheese,Pungent,Lime",,
Sour-Cherry-Sherbert,hybrid,0,None,None,TKO Reserve,
Sour-Chocolate,sativa,3.9,"Uplifted,Sleepy,Creative,Happy,Talkative","Diesel,Sweet,Earthy",,
Sour-Chunk,hybrid,4.3,"Relaxed,Creative,Uplifted,Euphoric,Hungry","Sweet,Lime,Earthy",,
Sour-Cookies,hybrid,4.4,"Relaxed,Happy,Talkative,Euphoric,Uplifted","Diesel,Sweet,Earthy",,
Sour-Cream,hybrid,4.3,"Happy,Relaxed,Euphoric,Focused,Uplifted","Diesel,Earthy,Sweet",,
Sour-Diesel,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Diesel,Pungent,Earthy",,
Sour-Dream,hybrid,4.4,"Happy,Euphoric,Creative,Tingly,Uplifted","Diesel,Earthy,Blueberry",,
Sour-Dubble,hybrid,4.9,"Talkative,Happy,Relaxed,Creative,Uplifted","Diesel,Pungent,Flowery",BOG Seeds,
Sour-Flower,sativa,4.3,"Energetic,Happy,Aroused,Uplifted,Focused","Berry,Earthy,Pine",,
Sour-Grape,hybrid,4.2,"Relaxed,Happy,Uplifted,Hungry,Energetic","Grape,Sweet,Berry",,
Sour-Grapes,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Hungry","Grape,Sweet,Berry",Gage Green Seeds,
Sour-Haze,sativa,4.5,"Uplifted,Euphoric,Happy,Creative,Relaxed","Citrus,Lemon,Pungent",,
Sour-Headband,hybrid,4.4,"Focused,Uplifted,Euphoric,Happy,Energetic","Diesel,Pungent,Skunk",,
Sour-Jack,sativa,4.5,"Energetic,Creative,Happy,Uplifted,Euphoric","Citrus,Sweet,Tropical",,
Sour-Jilly,hybrid,4.8,"Happy,Euphoric,Energetic,Uplifted,Talkative","Berry,Sweet,Citrus",Jilly Bean,
Sour-Joker,sativa,4.7,"Uplifted,Energetic,Creative,Happy,Focused","Earthy,Pungent,Tree,Fruit",,
Sour-Kush,hybrid,4.3,"Relaxed,Happy,Uplifted,Energetic,Focused","Earthy,Pungent,Diesel",DNA Genetics,"Amsterdam,Canada, California"
Sour-Lemon-Og,hybrid,4.6,"Talkative,Energetic,Happy,Relaxed,Focused","Lemon,Citrus,Earthy",Emerald Triangle Seeds,
Sour-Lsd,hybrid,4.3,"Happy,Energetic,Uplifted,Focused,Euphoric","Citrus,Pungent,Earthy",BOG Seeds,
Sour-Maui,sativa,4.7,"Uplifted,Energetic,Happy,Euphoric,Creative","Citrus,Nutty,Earthy",,
Sour-Og,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Pungent,Pine",Unknown,
Sour-Patch-Kiss,hybrid,4.7,"Uplifted,Happy,Relaxed,Creative,Talkative","Citrus,Earthy,Flowery",Elev8 Seeds,
Sour-Pebbles,sativa,4.6,"Happy,Uplifted,Focused,Energetic,Euphoric","Sweet,Citrus,Berry",Fire Bros,Washington State
Sour-Poison,sativa,4.6,"Uplifted,Happy,Talkative,Giggly,Relaxed","Citrus,Earthy,Pine",,
Sour-Power,hybrid,4.7,"Happy,Euphoric,Energetic,Talkative,Hungry","Diesel,Skunk,Pungent",HortiLab Seeds,
Sour-Spyder,indica,5,"Aroused,Tingly,Energetic,Euphoric,Happy","Ammonia,Citrus,Coffee",,
Sour-Star-Head,sativa,5,"Uplifted,Happy,Talkative,Energetic,Euphoric","Citrus,Sweet,Spicy/Herbal",Rebel Spirit Cannabis,"Eugene, Oregon"
Sour-Strawberry-Diesel,hybrid,4.6,"Happy,Creative,Relaxed,Euphoric,Uplifted","Strawberry,Sweet,Diesel",MTG Seeds,
Sour-Sunset,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Sweet,Diesel,Citrus",Crockett Family Farms,
Sour-Tangie,sativa,4.6,"Happy,Uplifted,Euphoric,Energetic,Focused","Citrus,Diesel,Orange",,
Sour-Tsunami,hybrid,4.4,"Relaxed,Creative,Focused,Euphoric,Happy","Citrus,Diesel,Sweet",,
Sour-Urkle,hybrid,4.6,"Relaxed,Happy,Uplifted,Focused,Hungry","Earthy,Diesel,Flowery",Unknown,
Sour-Willie,sativa,4.5,"Tingly,Happy,Sleepy,Uplifted,Hungry","Pungent,Diesel,Sweet",,
Sourlope,sativa,4.6,"Happy,Focused,Relaxed,Uplifted,Creative","Sweet,Tropical,Pungent",,
South-American,sativa,4,"Hungry,Happy,Relaxed,Sleepy,Energetic","Earthy,Mango,Tropical",,
South-Asian,indica,4,"Sleepy,Talkative,Uplifted,Euphoric,Giggly",Sweet,Unknown,
South-Asian-Sativa,sativa,0,None,None,,
South-Central-La,indica,4.8,"Uplifted,Euphoric,Focused,Hungry,Relaxed","Sweet,Berry,Blueberry",Root Seller Seeds,
South-Indian,sativa,4.3,"Euphoric,Relaxed,Energetic,Hungry,Happy","Skunk,Mango,Sweet",,
South-Indian-Indica,indica,3.8,None,,,
Southern-Lights,sativa,3.5,"Aroused,Uplifted,Creative,Euphoric,Happy",Lemon,,
Space-Bomb,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Flowery,Berry",TGA Genetics,"Seattle, Washington"
Space-Candy,hybrid,4.6,"Uplifted,Relaxed,Happy,Focused,Euphoric","Earthy,Sweet,Pungent",Heroes of the Farm Genetics ,
Space-Cream,hybrid,4.8,"Relaxed,Uplifted,Euphoric,Happy,Energetic","Sweet,Citrus,Pine",Hotsause Genetic,
Space-Dawg,indica,4.2,"Relaxed,Uplifted,Euphoric,Talkative,Giggly","Sweet,Earthy,Berry",,
Space-Jill,sativa,3.7,"Creative,Focused,Energetic,Uplifted,Euphoric",,TGA Genetics,"Seattle, Washington"
Space-Monster,indica,4.3,"Relaxed,Tingly,Sleepy,Uplifted,Creative","Ammonia,Diesel,Spicy/Herbal",Unknown,
Space-Needle,sativa,3.7,"Uplifted,Euphoric,Happy,Hungry,Relaxed","Pungent,Pine,Flowery",,Seattle
Space-Queen,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Focused","Earthy,Sweet,Flowery",Vic High of BC Growers Association,
Special-K,hybrid,4.5,"Happy,Uplifted,Euphoric,Relaxed,Creative","Sweet,Citrus,Earthy",,
Special-Kush-1,indica,4.6,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Earthy,Sweet,Pungent",Royal Queen Seeds,Spain 
Spirit-Of-76,hybrid,4.6,"Relaxed,Uplifted,Happy,Talkative,Euphoric","Pine,Woody,Flowery",Kindman ,Denver
Spliffs-Strawberry,sativa,4.6,"Talkative,Creative,Energetic,Euphoric,Focused","Sweet,Berry,Strawberry",Dutch Seedbank,
Spoetnik-1,indica,5,"Focused,Sleepy,Creative,Energetic,Euphoric","Flowery,Lavender,Rose",Paradise Seeds,"Amsterdam, Netherlands"
Sputnik,sativa,4.5,"Happy,Relaxed,Energetic,Tingly,Euphoric","Sweet,Flowery,Tea",,
Spyder-Mon,hybrid,5,"Uplifted,Creative,Focused,Happy,Relaxed","Citrus,Earthy,Sweet",,
Star-47,hybrid,4.3,"Happy,Euphoric,Sleepy,Giggly,Relaxed","Earthy,Spicy/Herbal,Berry",World of Seeds Bank,Brazil
Star-Berry,indica,4.6,"Relaxed,Uplifted,Happy,Euphoric,Energetic","Berry,Citrus,Sweet",CannaVenture,
Star-Killer,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Lemon,Pungent",,
Star-Master-Kush,indica,4.7,"Relaxed,Uplifted,Focused,Happy,Sleepy","Skunk,Pine,Earthy",Zion Botanicals,"Portland, Oregon"
Star-Tonic,hybrid,4.7,"Relaxed,Focused,Uplifted,Happy,Euphoric","Citrus,Sweet,Lemon",Unknown,
Starbud,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Pine,Menthol",,
Stardawg,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Diesel,Pungent,Earthy",Unknown,
Stardawg-91,indica,5,"Sleepy,Euphoric,Happy,Relaxed","Diesel,Pepper,Earthy",Deschutes Growery ,
Stardawg-Guava,sativa,4.6,"Relaxed,Happy,Uplifted,Energetic,Creative","Tropical,Sweet,Pungent",,
Starfighter,hybrid,4.1,"Euphoric,Relaxed,Happy,Uplifted,Creative","Pine,Pungent,Woody",Alien Genetics,"Humboldt, California"
Starry-Night,hybrid,4.6,"Euphoric,Happy,Focused,Tingly,Energetic","Berry,Earthy,Pungent",Unknown,
Stella-Blue,sativa,4.6,"Energetic,Happy,Uplifted,Focused,Talkative","Sweet,Flowery,Berry",,California
Stephen-Hawking-Kush,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Tingly","Earthy,Woody,Berry",AlphaKronic Genes,
Stevie-Wonder,hybrid,4.6,"Happy,Hungry,Uplifted,Focused,Tingly","Earthy,Pine,Orange",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Straight-As-Haze,sativa,5,"Energetic,Euphoric,Happy,Talkative,Giggly","Sweet,Citrus,Spicy/Herbal",Cereal Killer Genetics,
Strawberry,sativa,4.4,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Strawberry,Sweet,Flowery",,
Strawberry-Alien-Kush,hybrid,4,Relaxed,Strawberry,,
Strawberry-Amnesia,sativa,4.5,"Creative,Relaxed,Uplifted,Euphoric,Energetic","Strawberry,Sweet,Earthy",Dinafem Seeds,"Barcelona, Spain"
Strawberry-Banana,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Creative","Strawberry,Sweet,Berry",DNA Genetics,"Amsterdam,Canada, California"
Strawberry-Blondie,hybrid,4.9,"Euphoric,Happy,Uplifted,Relaxed,Creative","Strawberry,Sweet,Earthy",Los Angeles Kush,Southern California
Strawberry-Blue,sativa,4.2,"Relaxed,Happy,Uplifted,Energetic,Euphoric","Strawberry,Sweet,Berry",World of Seeds Bank,Brazil
Strawberry-Cheesecake,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Strawberry,Sweet,Cheese",Heavyweight Seeds,
Strawberry-Cough,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Strawberry,Sweet,Berry",,
Strawberry-Diesel,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Strawberry,Sweet",Unknown,
Strawberry-Dream,hybrid,4.4,"Uplifted,Euphoric,Happy,Energetic,Creative","Strawberry,Sweet,Berry",,
Strawberry-Durban-Diesel,sativa,4.4,"Uplifted,Creative,Focused,Talkative,Aroused","Strawberry,Earthy,Diesel",Loud Seeds,California
Strawberry-Fields,indica,4.6,"Relaxed,Happy,Uplifted,Hungry,Euphoric","Strawberry,Sweet,Berry",Sagarmatha Seeds,
Strawberry-Frost,indica,5,"Happy,Aroused,Relaxed,Giggly,Hungry","Sweet,Strawberry,Earthy",MaddFarmer,
Strawberry-Ice,sativa,4.8,"Focused,Energetic,Euphoric,Happy,Creative","Strawberry,Sweet,Berry",,
Strawberry-Kush,hybrid,4.2,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Strawberry,Sweet,Pungent",,
Strawberry-Lemonade,sativa,4.3,"Happy,Relaxed,Euphoric,Uplifted,Energetic","Strawberry,Lemon,Berry",,
Strawberry-Mango-Haze,sativa,4.6,"Happy,Euphoric,Uplifted,Focused,Energetic","Strawberry,Sweet,Mango",,
Strawberry-Milkshake,hybrid,4.4,"Happy,Relaxed,Uplifted,Tingly,Euphoric","Sweet,Strawberry,Berry",,
Strawberry-Og,hybrid,4.2,"Happy,Relaxed,Euphoric,Hungry,Creative","Strawberry,Diesel,Spicy/Herbal",,
Strawberry-Satori,sativa,4.5,"Uplifted,Creative,Relaxed,Happy,Energetic","Strawberry,Berry,Pungent",Strawberry Cough,
Sublime,sativa,4.2,"Uplifted,Happy,Focused,Euphoric,Talkative","Flowery,Pine,Earthy",,
Sugar-Black-Rose,indica,4.5,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Rose,Sweet,Flowery",Delicious Seeds,"Valencia, Spain"
Sugar-Calyx,hybrid,0,None,None,Calyx Garden,"Humboldt, California"
Sugar-Cookie,hybrid,4.3,"Relaxed,Happy,Sleepy,Euphoric,Giggly","Sweet,Earthy,Tar",,
Sugar-Kush,indica,4.1,"Relaxed,Hungry,Sleepy,Happy,Euphoric","Sweet,Woody,Pine",,
Sugar-Mama,indica,4.8,"Euphoric,Relaxed,Happy,Focused,Uplifted","Sweet,Tropical,Blueberry",,
Sugar-Pine,hybrid,0,None,None,Flying Dutchman,"Castle Rock, Washington"
Sugar-Plum,sativa,4.5,"Euphoric,Happy,Relaxed,Uplifted,Creative","Sweet,Plum,Tropical",Stoney Girl Gardens,
Sugar-Punch,hybrid,4.8,"Hungry,Happy,Giggly,Aroused,Uplifted","Skunk,Sweet,Woody",Sannie Seeds,
Sugar-Shack,hybrid,4.6,"Relaxed,Happy,Uplifted,Energetic,Talkative","Earthy,Pine,Sweet",,
Suicide-Girl,hybrid,4.8,"Talkative,Euphoric,Uplifted,Relaxed,Tingly","Violet,Sweet,Citrus",Calyx Garden,"Humboldt, California"
Summertime-Squeeze,sativa,4.9,"Creative,Happy,Talkative,Giggly,Aroused","Tea,Earthy,Spicy/Herbal",,
Sumo-Grande,sativa,4.5,"Focused,Hungry,Creative,Talkative,Uplifted","Citrus,Sweet,Pine",,
Sumo-Og-Kush,indica,4.3,"Hungry,Relaxed,Talkative,Uplifted,Focused","Earthy,Pine,Diesel",Sumo Seeds,
Sun-Ra,sativa,4.7,"Happy,Uplifted,Euphoric,Focused,Tingly","Citrus,Sweet,Earthy",Colorado Seed Inc.,"Boulder, Colorado"
Sunburn,sativa,4.6,"Creative,Euphoric,Uplifted,Happy,Energetic","Citrus,Earthy,Sweet",,
Sunlight-Skunk,hybrid,0,None,None,Zion Botanicals,"Portland, Oregon"
Sunset-Haze,hybrid,4.2,"Relaxed,Creative,Aroused,Sleepy,Uplifted","Sweet,Citrus,Flowery",,
Sunset-Sherbert,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Citrus,Earthy",Unknown,
Sunshine,sativa,4.7,"Happy,Uplifted,Energetic,Creative,Focused","Citrus,Sweet,Tea","Canadian LP Peace Naturals Project, Inc",
Sunshine-4,hybrid,4.8,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Spicy/Herbal,Citrus,Sweet",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Sunshine-Daydream,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly","Pungent,Diesel,Flowery",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Supa-Don,sativa,4.5,"Uplifted,Creative,Energetic,Focused,Happy","Spicy/Herbal,Sweet,Apricot",,
Super-Blue-Dream,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Sweet,Blueberry,Tea",Unknown,
Super-Bud,indica,4.1,"Relaxed,Giggly,Sleepy,Happy,Creative","Citrus,Mint,Flowery",Green House Seeds,"Amsterdam, Netherlands"
Super-Cat-Piss,sativa,4,"Euphoric,Happy,Uplifted,Tingly,Creative","Coffee,Lemon",,
Super-Cheese,indica,4.5,"Tingly,Euphoric,Relaxed,Happy,Sleepy","Cheese,Blue,Cheese,Earthy",Positronics,
Super-Chronic,indica,4.8,"Happy,Relaxed,Sleepy,Euphoric,Focused","Earthy,Pine,Minty",,
Super-G,sativa,4.5,"Creative,Tingly,Uplifted,Energetic,Happy","Earthy,Pungent,Pine",Soulshine Cannabis,
Super-Green-Crack,sativa,4.5,"Happy,Giggly,Energetic,Focused,Euphoric","Earthy,Flowery,Pungent",,
Super-Jack,sativa,4.5,"Happy,Energetic,Uplifted,Talkative,Focused","Sweet,Pungent,Skunk",,
Super-Kush,indica,4.2,"Relaxed,Happy,Euphoric,Giggly,Aroused","Earthy,Minty,Flowery",,
Super-Lemon-Haze,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Focused","Lemon,Citrus,Sweet",Green House Seeds,"Amsterdam, Netherlands"
Super-Lemon-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Creative","Lemon,Citrus,Earthy",DNA Genetics,"Amsterdam,Canada, California"
Super-Silver-Haze,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Relaxed","Citrus,Earthy,Sweet",Green House Seeds,"Amsterdam, Netherlands"
Super-Silver-Lights,hybrid,4.5,"Happy,Uplifted,Creative,Euphoric,Giggly","Flowery,Sweet,Pungent",Unknown,
Super-Skunk,indica,4.2,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Skunk,Earthy,Sweet",,
Super-Snow-Dog,sativa,4.5,"Uplifted,Happy,Euphoric,Relaxed,Focused","Citrus,Flowery,Earthy",,
Super-Sour-Diesel,sativa,4.5,"Uplifted,Happy,Euphoric,Creative,Energetic","Diesel,Sweet,Earthy",,
Super-Sour-Og,hybrid,4.6,"Relaxed,Uplifted,Happy,Focused,Giggly","Citrus,Sweet,Lemon",Emerald Triangle,
Super-Sour-Skunk,hybrid,4.5,"Happy,Euphoric,Talkative,Sleepy,Uplifted","Citrus,Earthy,Diesel",HortiLab Seeds,
Super-Sour-Widow,hybrid,4.7,"Euphoric,Energetic,Happy,Uplifted,Relaxed","Pungent,Spicy/Herbal,Earthy",Unknown,
Super-Sweet,hybrid,4.8,"Happy,Relaxed,Uplifted,Focused,Giggly","Sweet,Honey,Berry",Masterpiece Medical Group,"Flint, Michigan"
Supergirl,indica,4.5,"Happy,Relaxed,Sleepy,Euphoric,Giggly","Earthy,Woody,Spicy/Herbal",Nirvana Seeds,"Amsterdam, Netherlands"
Superglue,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Earthy,Woody,Pine",Seedism Seeds,
Superman-Og,indica,4.3,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Pine,Pungent",,
Supermax-Og,hybrid,4.9,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Pungent,Pine,Diesel",Unknown,
Supernatural,sativa,4.4,"Euphoric,Relaxed,Happy,Creative,Energetic","Earthy,Citrus,Flowery",Exotic Genetix,"Tacoma, Washington"
Supernova,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Creative","Sweet,Pungent,Flowery",,Amsterdam
Superstar,hybrid,4,"Relaxed,Focused,Euphoric,Uplifted,Happy","Citrus,Blueberry,Strawberry",Exotic Genetix,"Tacoma, Washington"
Suzy-Q,hybrid,4.3,"Relaxed,Focused,Uplifted,Talkative,Happy","Pine,Earthy,Spicy/Herbal",,
Swazi-Gold,sativa,3.7,"Hungry,Relaxed,Focused,Creative,Giggly","Woody,Citrus,Earthy",,Africa
Sweet-And-Sour-Widow,indica,4.5,"Relaxed,Uplifted,Happy,Focused,Sleepy","Earthy,Sweet,Woody",CBD Crew,
Sweet-Baby-Jane,indica,4.3,"Relaxed,Tingly,Giggly,Happy,Hungry","Citrus,Sweet,Pungent",Vashon Island Organics ,
